bin,packets,bytes
4030.0,61,5753
4040.0,24,2479
4050.0,7,1274
4060.0,1,342
4070.0,6,982
4080.0,2,428
4090.0,1,342
4100.0,4,586
4110.0,2,428
4120.0,1,54
4130.0,6,459
4140.0,1,86
4160.0,3,244
4170.0,1,86
4180.0,3,1026
4190.0,6,844
4200.0,3,770
4210.0,1,342
4220.0,40,11616
4230.0,2,428
4240.0,1,342
4250.0,3,244
4260.0,1,86
4280.0,3,244
4290.0,5,1154
4310.0,4,1368
4320.0,6,726
4330.0,60,6294
4340.0,12,1409
4350.0,8,834
4360.0,2,684
4370.0,1,54
4380.0,4,330
4400.0,1,54
4410.0,4,330
4430.0,2,684
4440.0,6,1014
4450.0,1,342
4460.0,1,342
4470.0,6,1014
4480.0,1,342
4490.0,3,600
4500.0,4,330
4520.0,41,12505
4530.0,4,330
4550.0,1,54
4560.0,7,1356
4570.0,1,342
4580.0,1,342
4590.0,6,1014
4600.0,1,342
4610.0,1,342
4620.0,5,672
4630.0,58,5503
4640.0,1,54
4650.0,7,492
4660.0,1,54
4680.0,4,330
4690.0,3,1026
4700.0,2,396
4710.0,6,1014
4720.0,1,342
4730.0,109,48464
4740.0,286,88352
4750.0,341,103277
4760.0,2,231
4770.0,1,86
4790.0,6,556
4800.0,1,86
4820.0,41,14968
4830.0,3,770
4840.0,1,342
4850.0,4,586
4860.0,2,428
4870.0,1,342
4880.0,4,586
4890.0,4,835
4900.0,9,2247
4910.0,3,244
4920.0,1,86
4930.0,59,5577
4940.0,26,2884
4950.0,8,1616
4960.0,1,342
4970.0,4,586
4980.0,3,482
4990.0,1,342
5000.0,20,1984
5010.0,1,86
5020.0,4,1535
5030.0,6,382
5040.0,1,86
5060.0,4,298
5070.0,3,770
5080.0,2,684
5090.0,6,844
5100.0,2,428
5110.0,1,342
5120.0,5,928
5130.0,2,428
5150.0,3,244
5160.0,1,86
5180.0,3,244
5190.0,1,86
5200.0,2,684
5210.0,5,928
5220.0,2,428
5230.0,60,5875
5240.0,27,3217
5250.0,150,64422
5260.0,185,53411
5280.0,2,140
5290.0,3,244
5310.0,4,581
5320.0,46,14179
5330.0,3,1026
5340.0,2,428
5350.0,4,586
5360.0,2,684
5370.0,2,428
5380.0,4,586
5390.0,3,600
5400.0,1,86
5410.0,3,244
5430.0,1,86
5440.0,3,244
5460.0,4,1112
5470.0,4,586
5480.0,2,684
5490.0,2,428
5500.0,4,586
5510.0,1,342
5520.0,4,668
5530.0,56,5323
5540.0,22,2289
5550.0,12,1055
5580.0,6,438
5590.0,3,1026
5600.0,2,684
5610.0,5,672
5620.0,147,52304
5630.0,272,93092
5640.0,5,796
5650.0,6,948
5670.0,1,86
5680.0,4,298
5690.0,2,258
5700.0,1,86
5710.0,4,586
5720.0,3,1026
5730.0,2,428
5740.0,4,586
5750.0,1,342
5760.0,2,428
5770.0,5,928
5790.0,4,835
5800.0,12,2491
5820.0,1,86
5830.0,63,5943
5840.0,24,2973
5850.0,6,932
5860.0,4,586
5870.0,2,396
5880.0,3,770
5890.0,4,586
5900.0,1,342
5910.0,1,86
5920.0,4,298
5940.0,1,86
5950.0,3,244
5970.0,4,1112
5980.0,4,586
5990.0,4,942
6000.0,2,428
6010.0,4,586
6020.0,40,13880
6030.0,2,428
6040.0,3,244
6060.0,1,86
6070.0,4,298
6090.0,1,86
6100.0,7,1612
6110.0,1,342
6120.0,4,971
6130.0,58,5755
6140.0,13,1618
6150.0,9,888
6160.0,1,342
6180.0,5,384
6210.0,4,330
6220.0,1,54
6230.0,4,1368
6240.0,7,756
6250.0,1,342
6260.0,1,342
6270.0,5,672
6280.0,1,342
6290.0,3,600
6300.0,4,330
6330.0,4,330
6350.0,1,342
6360.0,7,1356
6370.0,1,342
6380.0,1,342
6390.0,5,672
6400.0,2,684
6410.0,1,342
6420.0,40,11392
6430.0,58,5503
6440.0,2,108
6450.0,5,384
6460.0,4,228
6480.0,8,1122
6490.0,2,684
6500.0,1,342
6510.0,5,672
6520.0,3,738
6530.0,1,342
6540.0,5,672
6570.0,7,861
6590.0,3,403
6600.0,4,330
6610.0,3,1026
6620.0,1,342
6630.0,6,1014
6640.0,1,342
6650.0,1,342
6660.0,5,672
6670.0,1,342
6690.0,19,3847
6700.0,3,749
6720.0,4,330
6730.0,59,5645
6740.0,24,3189
6750.0,7,1068
6760.0,3,450
6770.0,4,837
6780.0,6,726
6790.0,1,342
6800.0,1,342
6810.0,4,330
6820.0,1,54
6840.0,4,330
6870.0,8,1698
6880.0,1,342
6890.0,3,600
6900.0,5,672
6910.0,1,342
6920.0,2,684
6930.0,4,330
6960.0,4,330
6970.0,2,226
6990.0,3,770
7000.0,6,982
7010.0,1,342
7020.0,2,428
